Date,Month,Year,Volume_Million,Value_Crore
2021-12-18,December,2021,145.123,24668.99
2021-12-19,December,2021,140.214,19087.16
2021-12-20,December,2021,148.936,29184.65
2021-12-21,December,2021,146.781,27086.37
2021-12-22,December,2021,148.994,26892.86
2021-12-23,December,2021,149.464,26454.72
2021-12-24,December,2021,149.12,25817.61
2021-12-25,December,2021,144.892,22122.87
2021-12-26,December,2021,135.726,17623.74
2021-12-27,December,2021,143.637,26037.07
2021-12-28,December,2021,144.559,26113.2
2021-12-29,December,2021,142.078,25271.47
2021-12-30,December,2021,149.152,27540.86
2021-12-31,December,2021,168.397,32283.86
2022-01-01,January,2022,158.527,27278.48
2022-01-02,January,2022,153.166,24750.74
2022-01-03,January,2022,161.487,32979.67
2022-01-04,January,2022,159.501,32214.37
2022-01-05,January,2022,159.171,31730.45
2022-01-06,January,2022,158.944,30771.67
2022-01-07,January,2022,162.133,30569.5
2022-01-08,January,2022,154.707,26520.13
2022-01-09,January,2022,121.296,18265.68
2022-01-10,January,2022,165.053,33273.67
2022-01-11,January,2022,156.323,30052.59
2022-01-12,January,2022,159.055,30181.55
2022-01-13,January,2022,156.506,28747.57
2022-01-14,January,2022,144.509,23852.4
2022-01-15,January,2022,137.8,21970.51
2022-01-16,January,2022,131.122,18000.91
2022-01-17,January,2022,148.762,27641.24
2022-01-18,January,2022,146.503,26732.97
2022-01-19,January,2022,150.162,27400.76
2022-01-20,January,2022,145.93,27092.83
2022-01-21,January,2022,147.74,26652.65
2022-01-22,January,2022,142.239,23272.13
2022-01-23,January,2022,131.735,17525.56
2022-01-24,January,2022,145.03,28414.48
2022-01-25,January,2022,146.012,27920.07
2022-01-26,January,2022,140.428,21232.52
2022-01-27,January,2022,143.76,27360.06
2022-01-28,January,2022,145.486,26942.28
2022-01-29,January,2022,139.055,24872.5
2022-01-30,January,2022,143.784,21176.51
2022-01-31,January,2022,161.23,36596.64
2022-02-01,February,2022,172.727,38167.32
2022-02-02,February,2022,166.646,34757.09
2022-02-03,February,2022,164.671,33265.3
2022-02-04,February,2022,162.284,32036.03
2022-02-05,February,2022,165.522,31339.7
2022-02-06,February,2022,154.93,23445.48
2022-02-07,February,2022,166.491,33670.85
2022-02-08,February,2022,166.798,32682.18
2022-02-09,February,2022,171.883,32468.47
2022-02-10,February,2022,164.632,31703.55
2022-02-11,February,2022,166.502,30697.0
2022-02-12,February,2022,163.281,27942.54
2022-02-13,February,2022,158.84,22271.87
2022-02-14,February,2022,167.59,32609.4
2022-02-15,February,2022,164.961,31888.77
2022-02-16,February,2022,165.318,30212.49
2022-02-17,February,2022,159.993,29053.85
2022-02-18,February,2022,161.088,27226.8
2022-02-19,February,2022,155.832,25778.25
2022-02-20,February,2022,154.944,21128.33
2022-02-21,February,2022,157.814,29480.41
2022-02-22,February,2022,147.401,27023.99
2022-02-23,February,2022,142.116,24444.21
2022-02-24,February,2022,167.923,32003.16
2022-02-25,February,2022,159.927,29271.51
2022-02-26,February,2022,160.68,26149.22
2022-02-27,February,2022,157.288,21228.83
2022-02-28,February,2022,159.407,34896.42
2022-03-01,March,2022,171.164,33758.22
2022-03-02,March,2022,179.457,37033.35
2022-03-03,March,2022,179.451,36252.3
2022-03-04,March,2022,177.904,35210.29
2022-03-05,March,2022,184.021,35370.65
2022-03-06,March,2022,172.569,26113.76
2022-03-07,March,2022,181.779,37285.22
2022-03-08,March,2022,179.365,34545.89
2022-03-09,March,2022,180.825,34882.05
2022-03-10,March,2022,181.54,34890.75
2022-03-11,March,2022,178.345,32377.05
2022-03-12,March,2022,176.519,29318.33
2022-03-13,March,2022,170.403,23152.81
2022-03-14,March,2022,177.435,33957.67
2022-03-15,March,2022,176.692,33340.64
2022-03-16,March,2022,180.456,33221.88
2022-03-17,March,2022,180.754,31166.73
2022-03-18,March,2022,148.927,18869.04
2022-03-19,March,2022,164.478,25247.27
2022-03-20,March,2022,158.862,21237.31
2022-03-21,March,2022,172.299,31841.8
2022-03-22,March,2022,167.303,29566.9
2022-03-23,March,2022,169.864,29859.79
2022-03-24,March,2022,169.582,29588.27
2022-03-25,March,2022,170.93,29741.97
2022-03-26,March,2022,176.05,27909.08
2022-03-27,March,2022,170.897,21937.12
2022-03-28,March,2022,171.371,30755.25
2022-03-29,March,2022,171.62,29737.75
2022-03-30,March,2022,177.198,33222.54
2022-03-31,March,2022,187.591,39189.99
2022-04-01,April,2022,175.996,38167.32
2022-04-02,April,2022,190.437,34757.09
2022-04-03,April,2022,181.666,33265.3
2022-04-04,April,2022,193.297,32036.03
2022-04-05,April,2022,192.136,31339.7
2022-04-06,April,2022,189.188,37401.11
2022-04-07,April,2022,192.491,37184.6
2022-04-08,April,2022,191.595,35133.63
2022-04-09,April,2022,196.377,33429.07
2022-04-10,April,2022,182.957,26380.29
2022-04-11,April,2022,192.092,37147.71
2022-04-12,April,2022,193.432,36141.16
2022-04-13,April,2022,195.935,22271.87
2022-04-14,April,2022,185.434,32609.4
2022-04-15,April,2022,180.744,31888.77
2022-04-16,April,2022,184.721,30212.49
2022-04-17,April,2022,177.611,23899.87
2022-04-18,April,2022,184.709,34476.4
2022-04-19,April,2022,184.84,33348.27
2022-04-20,April,2022,186.396,33512.38
2022-04-21,April,2022,183.363,31649.72
2022-04-22,April,2022,184.132,30687.21
2022-04-23,April,2022,183.043,28361.39
2022-04-24,April,2022,167.909,22341.42
2022-04-25,April,2022,182.16,33631.18
2022-04-26,April,2022,182.041,32293.94
2022-04-27,April,2022,183.281,32147.43
2022-04-28,April,2022,181.481,31645.31
2022-04-29,April,2022,184.956,34089.13
2022-04-30,April,2022,198.629,38589.29
2022-05-01,May,2022,205.398,35380.47
2022-05-02,May,2022,208.215,43127.73
2022-05-03,May,2022,186.151,32528.65
2022-05-04,May,2022,194.496,39142.74
2022-05-05,May,2022,199.545,40116.7
2022-05-06,May,2022,197.209,38218.9
2022-05-07,May,2022,206.059,37753.22
2022-05-08,May,2022,195.413,28907.36
2022-05-09,May,2022,199.41,39710.68
2022-05-10,May,2022,194.299,37570.27
2022-05-11,May,2022,197.423,36863.35
2022-05-12,May,2022,193.685,33771.63
2022-05-13,May,2022,194.336,37429.32
2022-05-14,May,2022,192.789,31230.91
2022-05-15,May,2022,188.454,25653.0
2022-05-16,May,2022,188.769,33249.98
2022-05-17,May,2022,187.292,33295.35
2022-05-18,May,2022,194.901,34027.49
2022-05-19,May,2022,190.19,32947.73
2022-05-20,May,2022,190.024,31912.52
2022-05-21,May,2022,189.8,30865.04
2022-05-22,May,2022,182.609,23763.95
2022-05-23,May,2022,187.032,32828.94
2022-05-24,May,2022,189.005,31870.42
2022-05-25,May,2022,188.372,31845.24
2022-05-26,May,2022,184.604,31197.03
2022-05-27,May,2022,183.472,29522.85
2022-05-28,May,2022,186.073,29069.75
2022-05-29,May,2022,185.213,23047.36
2022-05-30,May,2022,183.636,33628.62
2022-05-31,May,2022,191.323,39743.33
2022-06-01,June,2022,208.493,42008.82
2022-06-02,June,2022,211.432,43887.84
2022-06-03,June,2022,203.821,38200.28
2022-06-04,June,2022,205.128,35010.94
2022-06-05,June,2022,200.799,34073.12
2022-06-06,June,2022,202.338,39158.04
2022-06-07,June,2022,205.993,37704.57
2022-06-08,June,2022,207.591,38922.92
2022-06-09,June,2022,204.238,36686.89
2022-06-10,June,2022,202.175,36538.99
2022-06-11,June,2022,203.713,33508.5
2022-06-12,June,2022,195.253,26074.45
